customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,txn_count,avg_amount,std_amount,min_amount,max_amount,first_txn,last_txn,days_since_last_txn
BANK10000,699,United States,Male,59,2,2955.0,4,0,0,43771.94,0,5.0,-28.64,56.94,-126.81,9.25,2023-02-01,2023-09-12,111.0
BANK10001,636,United States,Female,73,0,10438.29,1,1,0,41761.55,0,8.0,-0.23,30.16,-44.16,60.16,2023-01-02,2023-12-20,12.0
BANK10002,714,Germany,Female,34,4,469.0,3,1,1,42696.3,0,4.0,24.98,76.7,-62.26,123.39,2023-01-30,2023-11-03,59.0
BANK10003,802,United Kingdom,Male,48,0,12339.78,3,1,1,17106.69,0,3.0,-38.96,14.0,-51.43,-23.81,2023-02-23,2023-08-07,147.0
BANK10004,626,United Kingdom,Male,70,7,12984.43,3,1,0,34072.91,0,5.0,-18.01,12.35,-35.89,-2.38,2023-01-28,2023-11-30,32.0
BANK10005,626,United Kingdom,Male,51,9,6495.75,2,1,1,41019.37,0,2.0,-2.6,10.19,-9.8,4.61,2023-07-29,2023-09-14,109.0
BANK10006,807,United States,Female,55,1,11527.13,4,1,1,42871.37,0,4.0,79.82,163.1,-11.59,323.89,2023-05-29,2023-11-30,32.0
BANK10007,726,Spain,Male,74,1,7348.09,3,0,1,25688.68,0,6.0,88.39,128.89,2.05,309.65,2023-01-04,2023-12-31,1.0
BANK10008,603,United States,Male,54,4,3757.07,3,1,1,40950.7,0,5.0,-53.62,69.09,-166.49,12.52,2023-03-19,2023-10-28,65.0
BANK10009,704,Spain,Male,21,1,4590.84,4,0,0,43898.42,1,4.0,190.35,365.11,-24.27,736.77,2023-02-04,2023-08-29,125.0
BANK10010,603,France,Male,79,0,4947.33,1,1,0,40467.02,1,4.0,-30.37,136.68,-230.6,68.79,2023-02-05,2023-11-21,41.0
BANK10011,603,United States,Male,19,7,678.49,1,1,1,36559.3,0,6.0,-74.34,150.53,-375.27,21.74,2023-05-06,2023-10-26,67.0
BANK10012,674,United States,Female,29,1,1072.49,2,1,1,25798.25,1,3.0,61.36,85.05,-7.4,156.47,2023-04-24,2023-11-22,40.0
BANK10013,458,United States,Female,52,0,3705.06,1,0,0,27317.13,1,5.0,36.6,35.5,2.41,90.62,2023-01-06,2023-11-27,35.0
BANK10014,477,United Kingdom,Female,23,2,612.13,2,1,0,41468.09,0,3.0,139.11,112.56,20.58,244.55,2023-09-29,2023-12-19,13.0
BANK10015,593,United Kingdom,Female,73,0,16759.08,2,1,1,15891.53,0,8.0,19.9,49.72,-30.41,131.02,2023-02-22,2023-12-29,3.0
BANK10016,548,Spain,Female,63,0,3537.52,2,1,1,57226.94,0,4.0,13.0,11.82,0.39,27.98,2023-02-10,2023-11-21,41.0
BANK10017,681,Spain,Female,25,2,2390.87,1,1,1,31064.22,0,6.0,15.61,21.85,-7.33,54.71,2023-01-30,2023-12-10,22.0
BANK10018,559,United States,Female,38,1,857.15,5,1,1,42709.09,0,3.0,-88.09,108.23,-184.66,28.89,2023-07-07,2023-09-08,115.0
BANK10019,508,Spain,Female,70,2,2693.84,1,0,0,58534.54,0,5.0,13.4,28.93,-23.29,57.09,2023-03-03,2023-12-21,11.0
