review_id,restaurant_id,user_id,rating,review_text,review_date,useful_count,service_rating,food_rating,ambiance_rating,value_rating,review_length,sentiment,overall_satisfaction
REV100000,REST1017,USER6272,4.7,Food was good but the wait was too long.,2023-06-17,4,5,4,1,5,40,Very Positive,4.18
REV100001,REST1022,USER5032,3.3,Absolutely loved everything! From appetizers to dessert.,2023-07-08,2,3,1,2,2,56,Neutral,2.4200000000000004
REV100002,REST1051,USER7550,5.0,Best BBQ in town! The Ribs was incredible.,2023-05-05,0,1,4,4,4,42,Very Positive,3.8000000000000003
REV100003,REST1118,USER5800,5.0,Overpriced for what you get. Won't be returning.,2023-10-07,2,2,3,3,1,48,Very Positive,3.5999999999999996
REV100004,REST1194,USER5026,3.5,Disappointing. Service was slow and food was cold.,2023-07-29,5,1,5,3,5,50,Neutral,3.4000000000000004
REV100005,REST1006,USER7604,5.0,Disappointing. Service was slow and food was cold.,2023-12-22,4,5,4,2,2,50,Very Positive,4.4
REV100006,REST1002,USER7692,4.1,Overpriced for what you get. Won't be returning.,2023-07-12,0,3,4,4,4,48,Positive,3.84
REV100007,REST1188,USER5840,3.3,Best French in town! The Croissant was incredible.,2023-09-29,4,5,4,3,2,50,Neutral,3.8200000000000003
REV100008,REST1060,USER5245,3.1,Cozy atmosphere and friendly staff. Perfect for date night.,2023-03-14,4,4,4,4,3,59,Neutral,3.64
REV100009,REST1182,USER5179,4.9,Best French in town! The Croissant was incredible.,2023-04-29,2,5,2,4,5,50,Very Positive,3.96
REV100010,REST1133,USER6877,5.0,Cozy atmosphere and friendly staff. Perfect for date night.,2023-02-13,3,5,5,4,1,59,Very Positive,4.9
REV100011,REST1148,USER7610,3.9,Average experience. Food was okay but nothing special.,2023-07-21,3,2,5,4,3,54,Positive,3.86
REV100012,REST1019,USER6781,5.0,Not worth the hype. There are better options nearby.,2023-12-06,3,3,5,5,3,52,Very Positive,4.6
REV100013,REST1033,USER6069,4.2,Disappointing. Service was slow and food was cold.,2023-06-11,4,4,4,4,4,50,Positive,4.08
REV100014,REST1100,USER6854,2.2,Overpriced for what you get. Won't be returning.,2023-05-20,6,1,3,2,5,48,Neutral,2.18
REV100015,REST1059,USER5557,5.0,Average experience. Food was okay but nothing special.,2023-10-27,2,2,1,2,1,54,Very Positive,2.9
REV100016,REST1027,USER5673,3.8,Amazing flavors and generous portions. Highly recommended!,2023-08-19,1,3,1,2,1,58,Positive,2.62
REV100017,REST1119,USER5494,4.1,Overpriced for what you get. Won't be returning.,2023-10-02,3,3,4,1,2,48,Positive,3.54
REV100018,REST1091,USER6262,5.0,Disappointing. Service was slow and food was cold.,2023-08-26,2,2,2,4,3,50,Very Positive,3.4
REV100019,REST1067,USER5645,3.7,Average experience. Food was okay but nothing special.,2023-12-18,2,2,4,1,4,54,Positive,3.18
REV100020,REST1077,USER5880,4.6,Not worth the hype. There are better options nearby.,2023-06-17,7,4,4,2,1,52,Very Positive,4.04
REV100021,REST1037,USER6457,4.0,Average experience. Food was okay but nothing special.,2023-07-22,1,4,4,3,1,54,Positive,3.8999999999999995
REV100022,REST1131,USER6065,4.1,Great food and excellent service! Will definitely come back.,2023-03-31,3,5,2,2,5,60,Positive,3.44
REV100023,REST1007,USER7277,3.2,Cozy atmosphere and friendly staff. Perfect for date night.,2023-10-09,1,5,3,4,2,59,Neutral,3.58
REV100024,REST1063,USER5417,3.3,Average experience. Food was okay but nothing special.,2023-03-13,2,1,4,5,3,54,Neutral,3.22
REV100025,REST1031,USER5910,4.2,Great food and excellent service! Will definitely come back.,2023-03-08,1,2,4,1,1,60,Positive,3.38
REV100026,REST1050,USER7811,4.9,Cozy atmosphere and friendly staff. Perfect for date night.,2023-11-19,2,3,3,4,3,59,Very Positive,3.8600000000000003
REV100027,REST1165,USER5307,5.0,Average experience. Food was okay but nothing special.,2023-01-12,3,4,4,1,5,54,Very Positive,4.1
REV100028,REST1016,USER5527,5.0,Disappointing. Service was slow and food was cold.,2023-02-17,0,2,4,3,2,50,Very Positive,3.9000000000000004
REV100029,REST1084,USER6888,4.1,Average experience. Food was okay but nothing special.,2023-01-26,5,3,1,3,1,54,Positive,2.84
