user_id,join_date,location,review_count,helpfulness_score,user_tenure_days,user_activity
USER5000,2022-08-19,City 1,17,1.38,1198,Active
USER5001,2022-09-07,City 2,14,4.48,1179,Active
USER5002,2022-06-21,City 3,10,2.81,1257,Active
USER5003,2021-11-28,City 4,18,4.48,1462,Active
USER5004,2021-01-12,City 5,12,2.82,1782,Active
USER5005,2020-04-15,City 6,11,1.78,2054,Active
USER5006,2021-06-01,City 7,11,2.78,1642,Active
USER5007,2022-09-05,City 8,8,3.23,1181,Active
USER5008,2020-08-21,City 9,8,4.11,1926,Active
USER5009,2020-05-13,City 10,12,2.48,2026,Active
USER5010,2022-03-31,City 11,20,2.53,1339,Active
USER5011,2022-10-04,City 12,15,4.43,1152,Active
USER5012,2020-05-31,City 13,13,2.08,2008,Active
USER5013,2023-03-27,City 14,16,3.31,978,Active
USER5014,2023-07-13,City 15,15,3.28,870,Active
USER5015,2023-11-06,City 1,11,1.66,754,Active
USER5016,2020-04-19,City 2,11,2.03,2050,Active
USER5017,2020-11-06,City 3,9,1.7,1849,Active
USER5018,2020-11-01,City 4,18,3.49,1854,Active
USER5019,2023-02-26,City 5,17,2.27,1007,Active
USER5020,2021-09-14,City 6,22,4.29,1537,Super Reviewer
USER5021,2020-06-23,City 7,14,3.67,1985,Active
USER5022,2021-05-23,City 8,15,2.85,1651,Active
USER5023,2020-08-30,City 9,15,2.83,1917,Active
USER5024,2023-02-16,City 10,9,1.43,1017,Active
USER5025,2022-05-02,City 11,10,3.73,1307,Active
USER5026,2023-05-26,City 12,18,3.73,918,Active
USER5027,2023-05-05,City 13,12,2.16,939,Active
USER5028,2023-06-20,City 14,9,2.02,893,Active
USER5029,2021-04-07,City 15,16,1.2,1697,Active
USER5030,2022-12-06,City 1,14,3.17,1089,Active
USER5031,2022-02-18,City 2,16,3.94,1380,Active
USER5032,2022-07-11,City 3,22,1.1,1237,Super Reviewer
USER5033,2022-06-25,City 4,14,2.85,1253,Active
USER5034,2021-08-31,City 5,19,3.02,1551,Active
USER5035,2023-04-20,City 6,8,2.59,954,Active
USER5036,2022-05-28,City 7,11,3.85,1281,Active
USER5037,2021-09-17,City 8,22,1.25,1534,Super Reviewer
USER5038,2023-03-10,City 9,16,3.39,995,Active
USER5039,2023-06-25,City 10,11,1.44,888,Active
USER5040,2020-05-03,City 11,14,3.78,2036,Active
USER5041,2023-06-02,City 12,13,2.36,911,Active
USER5042,2020-07-22,City 13,25,1.22,1956,Super Reviewer
USER5043,2021-03-01,City 14,13,1.73,1734,Active
USER5044,2023-07-05,City 15,14,4.08,878,Active
USER5045,2021-03-08,City 1,17,2.47,1727,Active
USER5046,2021-06-25,City 2,16,3.53,1618,Active
USER5047,2023-09-14,City 3,10,0.82,807,Active
USER5048,2020-06-15,City 4,18,2.38,1993,Active
USER5049,2020-11-17,City 5,10,2.97,1838,Active
USER5050,2021-05-06,City 6,13,2.33,1668,Active
USER5051,2020-12-21,City 7,17,3.2,1804,Active
USER5052,2023-02-04,City 8,19,4.41,1029,Active
USER5053,2020-06-02,City 9,13,1.85,2006,Active
USER5054,2020-11-16,City 10,15,2.8,1839,Active
USER5055,2020-01-06,City 11,14,1.61,2154,Active
USER5056,2022-04-16,City 12,13,1.77,1323,Active
USER5057,2022-07-11,City 13,19,2.32,1237,Active
USER5058,2023-11-12,City 14,18,4.42,748,Active
USER5059,2023-05-01,City 15,14,4.65,943,Active
USER5060,2022-08-20,City 1,18,2.31,1197,Active
USER5061,2021-08-19,City 2,15,1.98,1563,Active
USER5062,2020-03-07,City 3,25,3.93,2093,Super Reviewer
USER5063,2021-04-19,City 4,9,4.56,1685,Active
USER5064,2021-08-13,City 5,14,3.36,1569,Active
USER5065,2023-12-18,City 6,9,1.7,712,Active
USER5066,2021-08-02,City 7,10,3.0,1580,Active
USER5067,2023-12-10,City 8,18,3.37,720,Active
USER5068,2022-07-18,City 9,13,1.92,1230,Active
USER5069,2020-05-25,City 10,14,3.69,2014,Active
USER5070,2023-11-08,City 11,19,4.42,752,Active
USER5071,2021-04-23,City 12,17,3.9,1681,Active
USER5072,2021-06-25,City 13,12,0.99,1618,Active
USER5073,2023-07-04,City 14,14,1.15,879,Active
USER5074,2023-04-22,City 15,17,3.01,952,Active
USER5075,2023-09-16,City 1,8,3.08,805,Active
USER5076,2021-02-09,City 2,10,3.62,1754,Active
USER5077,2022-05-20,City 3,15,2.81,1289,Active
USER5078,2020-08-23,City 4,5,1.71,1924,Casual
USER5079,2023-01-20,City 5,18,0.73,1044,Active
USER5080,2021-04-05,City 6,8,1.69,1699,Active
USER5081,2023-08-19,City 7,24,2.65,833,Super Reviewer
USER5082,2020-11-01,City 8,13,4.46,1854,Active
USER5083,2021-06-28,City 9,13,2.87,1615,Active
USER5084,2020-10-18,City 10,17,1.32,1868,Active
USER5085,2020-05-26,City 11,11,3.73,2013,Active
USER5086,2020-05-02,City 12,17,3.62,2037,Active
USER5087,2020-12-05,City 13,12,2.36,1820,Active
USER5088,2021-09-21,City 14,12,3.18,1530,Active
USER5089,2023-05-03,City 15,16,1.94,941,Active
USER5090,2023-03-11,City 1,11,3.69,994,Active
USER5091,2021-08-14,City 2,16,4.75,1568,Active
USER5092,2022-06-18,City 3,17,2.81,1260,Active
USER5093,2020-09-11,City 4,19,1.57,1905,Active
USER5094,2022-08-17,City 5,16,2.46,1200,Active
USER5095,2023-11-11,City 6,19,2.92,749,Active
USER5096,2021-09-14,City 7,10,1.76,1537,Active
USER5097,2023-12-04,City 8,22,2.06,726,Super Reviewer
USER5098,2022-04-04,City 9,13,3.87,1335,Active
USER5099,2021-07-11,City 10,14,3.4,1602,Active
USER5100,2022-10-21,City 11,23,2.86,1135,Super Reviewer
USER5101,2023-01-10,City 12,10,3.36,1054,Active
USER5102,2022-10-08,City 13,12,4.69,1148,Active
USER5103,2022-06-15,City 14,22,3.82,1263,Super Reviewer
USER5104,2020-06-13,City 15,18,3.11,1995,Active
USER5105,2023-05-09,City 1,19,2.88,935,Active
USER5106,2020-03-22,City 2,18,2.72,2078,Active
USER5107,2022-06-03,City 3,11,3.39,1275,Active
USER5108,2021-10-22,City 4,6,3.78,1499,Active
USER5109,2023-05-21,City 5,10,2.61,923,Active
USER5110,2021-05-27,City 6,19,4.51,1647,Active
USER5111,2020-02-22,City 7,15,4.01,2107,Active
USER5112,2020-07-06,City 8,18,3.69,1972,Active
USER5113,2021-04-13,City 9,16,4.61,1691,Active
USER5114,2023-10-12,City 10,12,2.16,779,Active
USER5115,2023-03-24,City 11,17,4.01,981,Active
USER5116,2023-04-17,City 12,10,2.22,957,Active
USER5117,2020-02-12,City 13,9,1.3,2117,Active
USER5118,2023-10-08,City 14,19,3.02,783,Active
USER5119,2021-07-05,City 15,16,1.73,1608,Active
USER5120,2023-03-26,City 1,16,3.2,979,Active
USER5121,2020-03-23,City 2,13,3.51,2077,Active
USER5122,2020-12-24,City 3,16,3.06,1801,Active
USER5123,2022-08-21,City 4,18,1.04,1196,Active
USER5124,2022-11-28,City 5,18,4.37,1097,Active
USER5125,2023-08-27,City 6,24,3.06,825,Super Reviewer
USER5126,2022-06-24,City 7,13,1.48,1254,Active
USER5127,2021-07-23,City 8,13,2.93,1590,Active
USER5128,2021-01-06,City 9,14,1.7,1788,Active
USER5129,2023-04-13,City 10,20,1.8,961,Active
USER5130,2022-06-11,City 11,14,2.19,1267,Active
USER5131,2023-07-24,City 12,17,1.75,859,Active
USER5132,2022-10-04,City 13,16,3.06,1152,Active
USER5133,2020-07-05,City 14,19,2.18,1973,Active
USER5134,2022-08-20,City 15,16,3.16,1197,Active
USER5135,2021-12-13,City 1,17,1.63,1447,Active
USER5136,2022-04-16,City 2,16,3.33,1323,Active
USER5137,2021-11-13,City 3,16,1.41,1477,Active
USER5138,2021-10-19,City 4,17,2.44,1502,Active
USER5139,2023-10-04,City 5,12,1.87,787,Active
USER5140,2020-08-02,City 6,15,3.45,1945,Active
USER5141,2020-11-25,City 7,7,3.0,1830,Active
USER5142,2021-11-06,City 8,19,1.48,1484,Active
USER5143,2022-04-23,City 9,14,4.27,1316,Active
USER5144,2023-11-21,City 10,13,3.78,739,Active
USER5145,2022-10-11,City 11,9,3.52,1145,Active
USER5146,2021-08-13,City 12,16,2.09,1569,Active
USER5147,2023-09-18,City 13,17,2.43,803,Active
USER5148,2022-03-31,City 14,17,3.48,1339,Active
USER5149,2023-01-31,City 15,9,2.26,1033,Active
USER5150,2020-03-16,City 1,19,4.31,2084,Active
USER5151,2022-07-20,City 2,16,2.45,1228,Active
USER5152,2020-06-29,City 3,11,3.07,1979,Active
USER5153,2021-10-06,City 4,13,1.87,1515,Active
USER5154,2021-05-31,City 5,12,0.87,1643,Active
USER5155,2021-10-24,City 6,12,2.52,1497,Active
USER5156,2020-08-25,City 7,11,2.98,1922,Active
USER5157,2022-04-07,City 8,14,2.33,1332,Active
USER5158,2022-11-19,City 9,10,0.84,1106,Active
USER5159,2020-01-03,City 10,18,4.67,2157,Active
USER5160,2023-09-08,City 11,14,2.91,813,Active
USER5161,2023-01-16,City 12,18,3.61,1048,Active
USER5162,2022-08-04,City 13,16,1.98,1213,Active
USER5163,2022-04-26,City 14,18,0.98,1313,Active
USER5164,2020-04-21,City 15,24,1.61,2048,Super Reviewer
USER5165,2021-01-19,City 1,7,3.28,1775,Active
USER5166,2022-11-27,City 2,12,4.37,1098,Active
USER5167,2022-01-10,City 3,21,2.96,1419,Super Reviewer
USER5168,2023-06-29,City 4,12,3.26,884,Active
USER5169,2022-10-17,City 5,14,2.59,1139,Active
USER5170,2023-07-04,City 6,8,3.97,879,Active
USER5171,2022-06-24,City 7,4,0.87,1254,Casual
USER5172,2020-04-15,City 8,21,2.04,2054,Super Reviewer
USER5173,2021-02-20,City 9,15,1.82,1743,Active
USER5174,2021-06-30,City 10,13,3.22,1613,Active
USER5175,2023-01-29,City 11,25,3.93,1035,Super Reviewer
USER5176,2020-09-25,City 12,22,1.25,1891,Super Reviewer
USER5177,2021-08-12,City 13,14,4.56,1570,Active
USER5178,2022-06-16,City 14,12,1.1,1262,Active
USER5179,2023-12-01,City 15,11,4.32,729,Active
USER5180,2022-09-19,City 1,16,4.48,1167,Active
USER5181,2020-09-05,City 2,9,0.87,1911,Active
USER5182,2020-02-29,City 3,11,3.68,2100,Active
USER5183,2023-07-14,City 4,20,3.66,869,Active
USER5184,2023-05-31,City 5,15,0.97,913,Active
USER5185,2021-05-05,City 6,8,0.95,1669,Active
USER5186,2023-12-24,City 7,15,1.84,706,Active
USER5187,2020-11-20,City 8,14,2.79,1835,Active
USER5188,2021-09-28,City 9,11,2.47,1523,Active
USER5189,2023-02-02,City 10,14,2.77,1031,Active
USER5190,2020-01-29,City 11,17,3.3,2131,Active
USER5191,2023-02-05,City 12,7,3.14,1028,Active
USER5192,2022-04-15,City 13,19,3.03,1324,Active
USER5193,2020-07-09,City 14,11,2.63,1969,Active
USER5194,2021-04-05,City 15,10,2.65,1699,Active
USER5195,2020-08-20,City 1,18,3.74,1927,Active
USER5196,2022-08-03,City 2,12,4.02,1214,Active
USER5197,2020-08-28,City 3,15,2.73,1919,Active
USER5198,2023-08-19,City 4,15,4.09,833,Active
USER5199,2020-11-11,City 5,9,3.03,1844,Active
USER5200,2022-10-17,City 6,19,3.06,1139,Active
USER5201,2021-08-20,City 7,11,1.79,1562,Active
USER5202,2022-11-08,City 8,12,2.48,1117,Active
USER5203,2023-12-15,City 9,16,3.05,715,Active
USER5204,2021-07-13,City 10,19,2.83,1600,Active
USER5205,2022-04-30,City 11,21,2.67,1309,Super Reviewer
USER5206,2022-09-15,City 12,10,4.21,1171,Active
USER5207,2022-08-25,City 13,19,3.82,1192,Active
USER5208,2021-05-14,City 14,10,4.77,1660,Active
USER5209,2022-07-24,City 15,17,3.17,1224,Active
USER5210,2023-02-02,City 1,14,3.37,1031,Active
USER5211,2020-10-23,City 2,19,3.41,1863,Active
USER5212,2022-02-24,City 3,26,2.33,1374,Super Reviewer
USER5213,2021-01-25,City 4,17,2.21,1769,Active
USER5214,2023-05-12,City 5,20,3.63,932,Active
USER5215,2022-11-06,City 6,10,1.97,1119,Active
USER5216,2020-10-06,City 7,16,4.44,1880,Active
USER5217,2020-05-22,City 8,11,2.19,2017,Active
USER5218,2021-07-19,City 9,19,3.62,1594,Active
USER5219,2022-04-29,City 10,17,2.97,1310,Active
USER5220,2021-11-27,City 11,15,3.82,1463,Active
USER5221,2022-11-05,City 12,14,2.24,1120,Active
USER5222,2021-07-01,City 13,15,2.2,1612,Active
USER5223,2020-01-06,City 14,13,3.71,2154,Active
USER5224,2021-08-02,City 15,9,4.74,1580,Active
USER5225,2021-09-03,City 1,10,4.12,1548,Active
USER5226,2023-04-17,City 2,14,4.61,957,Active
USER5227,2023-04-02,City 3,17,1.39,972,Active
USER5228,2023-09-13,City 4,13,3.79,808,Active
USER5229,2022-09-29,City 5,17,4.1,1157,Active
USER5230,2020-10-31,City 6,17,2.54,1855,Active
USER5231,2022-07-03,City 7,17,1.94,1245,Active
USER5232,2023-01-08,City 8,11,3.57,1056,Active
USER5233,2022-09-18,City 9,12,3.97,1168,Active
USER5234,2021-12-07,City 10,12,3.18,1453,Active
USER5235,2021-11-11,City 11,17,3.5,1479,Active
USER5236,2023-02-04,City 12,13,4.71,1029,Active
USER5237,2023-01-17,City 13,19,3.77,1047,Active
USER5238,2022-02-11,City 14,17,4.54,1387,Active
USER5239,2022-07-21,City 15,9,3.96,1227,Active
USER5240,2021-10-21,City 1,14,4.03,1500,Active
USER5241,2021-01-21,City 2,15,4.32,1773,Active
USER5242,2023-11-29,City 3,29,3.62,731,Super Reviewer
USER5243,2021-05-04,City 4,14,3.72,1670,Active
USER5244,2023-03-17,City 5,12,2.85,988,Active
USER5245,2022-02-23,City 6,18,3.59,1375,Active
USER5246,2021-04-23,City 7,19,1.91,1681,Active
USER5247,2022-04-21,City 8,20,4.37,1318,Active
USER5248,2020-03-30,City 9,17,3.01,2070,Active
USER5249,2021-10-13,City 10,9,3.84,1508,Active
USER5250,2022-08-26,City 11,13,4.15,1191,Active
USER5251,2023-12-15,City 12,12,1.44,715,Active
USER5252,2022-02-19,City 13,18,2.87,1379,Active
USER5253,2022-03-01,City 14,17,2.76,1369,Active
USER5254,2023-09-21,City 15,21,3.17,800,Super Reviewer
USER5255,2023-08-28,City 1,8,3.34,824,Active
USER5256,2020-11-07,City 2,19,4.27,1848,Active
USER5257,2022-10-11,City 3,20,4.16,1145,Active
USER5258,2020-03-16,City 4,16,2.76,2084,Active
USER5259,2020-09-15,City 5,17,1.89,1901,Active
USER5260,2022-10-25,City 6,20,2.48,1131,Active
USER5261,2023-04-23,City 7,15,1.94,951,Active
USER5262,2021-11-10,City 8,13,0.96,1480,Active
USER5263,2020-07-24,City 9,18,3.0,1954,Active
USER5264,2022-06-20,City 10,21,4.33,1258,Super Reviewer
USER5265,2020-07-23,City 11,16,1.92,1955,Active
USER5266,2022-12-13,City 12,16,4.3,1082,Active
USER5267,2022-07-24,City 13,12,3.74,1224,Active
USER5268,2020-02-01,City 14,9,1.96,2128,Active
USER5269,2020-10-22,City 15,15,4.02,1864,Active
USER5270,2022-04-19,City 1,24,3.85,1320,Super Reviewer
USER5271,2023-09-02,City 2,18,1.35,819,Active
USER5272,2020-11-12,City 3,17,3.44,1843,Active
USER5273,2020-06-02,City 4,12,4.65,2006,Active
USER5274,2022-08-19,City 5,15,3.49,1198,Active
USER5275,2021-06-26,City 6,10,2.13,1617,Active
USER5276,2021-11-24,City 7,27,2.43,1466,Super Reviewer
USER5277,2023-06-30,City 8,15,3.11,883,Active
USER5278,2023-11-19,City 9,16,1.0,741,Active
USER5279,2022-03-25,City 10,11,2.61,1345,Active
USER5280,2023-08-23,City 11,11,3.83,829,Active
USER5281,2020-06-13,City 12,9,2.49,1995,Active
USER5282,2021-11-03,City 13,19,2.98,1487,Active
USER5283,2023-10-13,City 14,15,3.1,778,Active
USER5284,2022-12-28,City 15,22,1.31,1067,Super Reviewer
USER5285,2022-02-17,City 1,9,1.85,1381,Active
USER5286,2021-10-10,City 2,9,4.34,1511,Active
USER5287,2023-07-07,City 3,15,0.84,876,Active
USER5288,2022-09-26,City 4,15,3.93,1160,Active
USER5289,2023-01-13,City 5,12,3.66,1051,Active
USER5290,2020-03-14,City 6,14,3.13,2086,Active
USER5291,2023-06-18,City 7,21,2.69,895,Super Reviewer
USER5292,2020-05-20,City 8,16,4.13,2019,Active
USER5293,2021-04-25,City 9,19,1.08,1679,Active
USER5294,2023-07-16,City 10,17,4.14,867,Active
USER5295,2023-11-02,City 11,12,3.96,758,Active
USER5296,2021-08-11,City 12,16,0.94,1571,Active
USER5297,2021-04-10,City 13,9,4.26,1694,Active
USER5298,2020-07-04,City 14,14,1.87,1974,Active
