customer_id,total_spent,transaction_count,first_purchase,last_purchase
CUST10000,720.71,13,2023-01-29,2023-12-29
CUST10001,447.83,7,2023-01-21,2023-10-18
CUST10002,380.95,9,2023-01-30,2023-11-18
CUST10003,1009.7,11,2023-01-01,2023-12-29
CUST10004,656.04,13,2023-01-01,2023-12-24
CUST10005,1382.77,13,2023-01-14,2023-12-19
CUST10006,517.27,8,2023-03-03,2023-12-15
CUST10007,1096.48,10,2023-03-31,2024-01-01
CUST10008,703.31,12,2023-03-06,2023-12-30
CUST10009,348.3,8,2023-01-17,2023-09-22
CUST10010,525.04,11,2023-02-12,2023-11-11
CUST10011,732.03,11,2023-03-15,2023-11-23
CUST10012,1006.57,15,2023-01-03,2023-11-15
CUST10013,1359.15,10,2023-02-07,2023-12-21
CUST10014,452.6,3,2023-08-15,2023-11-18
CUST10015,500.96,12,2023-03-13,2023-12-08
CUST10016,881.09,13,2023-01-15,2023-12-05
CUST10017,711.7,11,2023-01-12,2023-10-14
CUST10018,1085.22,12,2023-03-01,2023-12-17
CUST10019,602.6,10,2023-02-18,2023-12-23
CUST10020,550.63,11,2023-02-21,2023-12-09
CUST10021,1590.95,15,2023-04-13,2023-12-12
CUST10022,717.4,17,2023-01-21,2023-12-10
CUST10023,678.1,10,2023-02-11,2023-12-29
CUST10024,906.57,13,2023-02-17,2023-11-17
CUST10025,1016.74,11,2023-01-14,2023-12-20
CUST10026,1007.51,14,2023-02-13,2024-01-01
CUST10027,1485.92,13,2023-01-12,2024-01-01
CUST10028,1386.57,12,2023-02-12,2023-12-03
CUST10029,443.71,11,2023-03-29,2023-12-21
CUST10030,722.97,10,2023-02-16,2023-12-29
CUST10031,655.76,11,2023-02-02,2023-12-23
CUST10032,947.1,10,2023-03-22,2023-12-18
CUST10033,994.18,9,2023-02-21,2023-11-27
CUST10034,857.49,12,2023-01-22,2023-12-20
CUST10035,1237.94,20,2023-01-29,2023-12-13
CUST10036,2290.11,16,2023-02-19,2023-12-08
CUST10037,471.44,7,2023-01-07,2023-12-26
CUST10038,532.63,9,2023-01-11,2023-12-18
CUST10039,1170.9,18,2023-01-04,2023-12-19
CUST10040,1153.91,16,2023-02-06,2023-12-06
CUST10041,698.95,7,2023-03-05,2023-11-26
CUST10042,340.87,7,2023-04-14,2023-10-23
CUST10043,383.01,6,2023-01-03,2023-12-06
CUST10044,280.41,5,2023-02-18,2023-11-06
CUST10045,444.71,7,2023-01-02,2023-12-11
CUST10046,897.83,12,2023-01-20,2023-11-30
CUST10047,1138.44,13,2023-01-04,2023-10-03
CUST10048,867.08,11,2023-01-09,2023-12-31
CUST10049,312.54,6,2023-03-23,2023-11-30
CUST10050,475.84,8,2023-03-04,2023-11-23
CUST10051,659.79,13,2023-02-03,2023-12-31
CUST10052,490.54,9,2023-04-28,2023-12-07
CUST10053,568.65,12,2023-02-14,2023-12-20
CUST10054,934.56,10,2023-01-25,2023-11-29
CUST10055,852.2,10,2023-01-08,2023-12-26
CUST10056,1228.8,16,2023-02-15,2023-12-29
CUST10057,986.42,12,2023-03-22,2024-01-01
CUST10058,633.61,12,2023-01-18,2023-08-17
CUST10059,1254.91,15,2023-03-03,2023-12-13
CUST10060,1095.58,15,2023-01-03,2023-12-26
CUST10061,28.35,2,2023-02-24,2023-04-25
CUST10062,1120.47,9,2023-02-01,2023-12-23
CUST10063,935.74,12,2023-03-10,2023-12-08
CUST10064,567.19,11,2023-02-17,2023-12-30
CUST10065,486.6,12,2023-03-10,2023-12-19
CUST10066,859.55,10,2023-04-02,2023-12-26
CUST10067,630.34,10,2023-01-31,2023-09-18
CUST10068,985.13,15,2023-01-07,2024-01-01
CUST10069,1062.76,10,2023-04-13,2024-01-01
CUST10070,706.27,8,2023-03-18,2023-12-03
CUST10071,955.11,13,2023-01-02,2023-12-01
CUST10072,597.39,7,2023-01-10,2023-12-10
CUST10073,363.6,7,2023-02-06,2023-12-24
CUST10074,516.34,9,2023-01-28,2023-11-23
CUST10075,428.24,9,2023-01-06,2023-11-11
CUST10076,389.77,4,2023-03-11,2023-12-24
CUST10077,355.74,5,2023-02-15,2023-12-09
CUST10078,661.23,10,2023-02-19,2023-10-07
CUST10079,539.82,11,2023-03-31,2023-12-12
CUST10080,927.23,12,2023-01-13,2023-11-24
CUST10081,791.28,7,2023-02-05,2023-12-19
CUST10082,552.81,10,2023-02-14,2023-11-20
CUST10083,1142.84,12,2023-02-12,2023-12-20
CUST10084,613.61,7,2023-01-22,2023-12-09
CUST10085,1404.61,12,2023-01-15,2023-12-07
CUST10086,1439.03,11,2023-01-30,2023-12-24
CUST10087,624.37,10,2023-01-19,2023-12-16
CUST10088,1102.17,14,2023-01-15,2023-12-19
CUST10089,376.47,6,2023-03-09,2023-10-18
CUST10090,512.43,8,2023-01-03,2023-12-01
CUST10091,1043.62,14,2023-01-01,2023-12-12
CUST10092,510.75,8,2023-01-02,2023-09-05
CUST10093,689.12,11,2023-02-10,2023-12-11
CUST10094,751.09,10,2023-01-10,2023-11-23
CUST10095,919.08,8,2023-01-31,2023-11-20
CUST10096,244.07,5,2023-01-14,2023-10-13
CUST10097,1172.49,12,2023-01-04,2023-12-12
CUST10098,788.37,14,2023-01-19,2023-12-15
CUST10099,479.95,7,2023-01-25,2023-11-05
CUST10100,506.66,8,2023-01-23,2023-11-29
CUST10101,435.04,10,2023-01-02,2023-11-23
CUST10102,682.63,8,2023-01-12,2023-11-13
CUST10103,775.83,12,2023-01-29,2023-12-18
CUST10104,930.59,9,2023-01-19,2023-12-28
CUST10105,776.17,7,2023-01-16,2023-10-07
CUST10106,1024.03,12,2023-02-06,2023-12-18
CUST10107,783.01,10,2023-02-02,2023-08-29
CUST10108,451.48,11,2023-01-15,2023-12-27
CUST10109,567.17,6,2023-01-14,2023-11-10
CUST10110,889.99,9,2023-01-11,2023-11-29
CUST10111,956.76,11,2023-02-01,2023-12-25
CUST10112,1004.71,15,2023-02-04,2023-12-25
CUST10113,1106.26,8,2023-02-07,2023-11-30
CUST10114,1367.3,17,2023-01-05,2023-12-01
CUST10115,437.06,9,2023-01-14,2023-10-13
CUST10116,939.65,14,2023-01-02,2023-12-17
CUST10117,595.29,12,2023-01-25,2023-10-29
CUST10118,255.3,5,2023-06-04,2023-10-16
CUST10119,608.18,10,2023-04-04,2023-11-28
CUST10120,853.03,9,2023-02-26,2023-10-24
CUST10121,855.68,9,2023-01-08,2023-12-13
CUST10122,938.54,13,2023-01-03,2023-11-03
CUST10123,551.45,10,2023-02-05,2023-11-14
CUST10124,426.1,7,2023-01-08,2023-08-12
CUST10125,228.52,5,2023-02-12,2023-08-31
CUST10126,1002.52,14,2023-04-28,2023-12-17
CUST10127,653.67,13,2023-02-16,2023-12-08
CUST10128,1051.86,11,2023-02-25,2023-10-28
CUST10129,1311.2,10,2023-01-09,2023-12-28
CUST10130,1153.0,10,2023-02-04,2023-12-24
CUST10131,915.57,10,2023-01-29,2023-10-26
CUST10132,666.28,12,2023-01-28,2023-12-21
CUST10133,630.79,10,2023-01-24,2023-12-15
CUST10134,1037.79,13,2023-01-05,2023-11-24
CUST10135,609.3,5,2023-01-31,2023-12-16
CUST10136,621.69,17,2023-02-07,2023-11-16
CUST10137,367.37,5,2023-05-12,2023-12-15
CUST10138,1190.21,13,2023-01-02,2024-01-01
CUST10139,1296.16,13,2023-01-13,2023-12-31
CUST10140,741.63,13,2023-02-23,2023-12-31
CUST10141,881.52,7,2023-02-24,2023-12-24
CUST10142,1687.9,13,2023-01-23,2023-12-29
CUST10143,493.41,7,2023-01-16,2023-12-09
CUST10144,1438.3,6,2023-05-12,2023-12-12
CUST10145,917.59,11,2023-01-04,2023-12-23
CUST10146,348.64,10,2023-01-02,2023-11-04
CUST10147,980.6,13,2023-01-09,2023-11-14
CUST10148,1207.23,13,2023-01-03,2023-11-16
CUST10149,652.83,12,2023-01-24,2023-12-22
CUST10150,449.18,10,2023-01-17,2023-12-04
CUST10151,856.9,12,2023-01-22,2023-12-08
CUST10152,737.83,7,2023-01-03,2023-12-28
CUST10153,928.59,8,2023-02-10,2023-10-10
CUST10154,476.23,7,2023-01-29,2023-11-18
CUST10155,338.14,9,2023-01-07,2023-12-21
CUST10156,441.81,8,2023-01-17,2023-12-03
CUST10157,648.94,10,2023-04-28,2023-12-28
CUST10158,420.82,7,2023-03-24,2023-10-19
CUST10159,507.02,10,2023-01-24,2023-12-31
CUST10160,460.37,8,2023-01-02,2023-12-23
CUST10161,1158.98,12,2023-01-04,2023-12-24
CUST10162,968.0,14,2023-02-07,2023-10-23
CUST10163,586.43,11,2023-01-03,2023-12-29
CUST10164,274.73,8,2023-02-25,2023-10-10
CUST10165,668.4,6,2023-01-15,2023-08-20
CUST10166,419.08,6,2023-02-06,2023-09-29
CUST10167,840.84,10,2023-01-12,2023-11-02
CUST10168,1393.32,7,2023-03-15,2023-11-22
CUST10169,886.69,14,2023-02-07,2023-12-29
CUST10170,1874.49,13,2023-01-08,2023-12-30
CUST10171,1214.46,11,2023-03-27,2023-09-18
