employee_id,department,education,education_field,gender,age,tenure,marital_status,distance_from_home,job_role,salary,bonus,job_satisfaction,performance_rating,overtime,attrition,salary_category,tenure_group,age_group
EMP1000,Technology,High School,Marketing,Female,60,10,Divorced,6.7,IT Support,54381.76,4115.18,4,1,No,Yes,Medium,6-10 years,55+
EMP1001,Sales,Bachelor,Medical,Female,50,7,Single,47.1,Account Executive,68222.89,1926.07,1,4,No,No,Medium,6-10 years,46-55
EMP1002,HR,High School,Life Sciences,Female,36,5,Married,10.4,Recruiter,38824.06,4817.9,3,1,No,No,Low,3-5 years,36-45
EMP1003,Finance,Bachelor,Other,Male,64,9,Single,8.5,CFO,160423.85,4422.45,3,2,No,No,Very High,6-10 years,55+
EMP1004,Finance,Master,Life Sciences,Male,29,10,Single,9.2,Financial Analyst,107074.77,13079.18,4,5,No,No,High,6-10 years,26-35
EMP1005,Marketing,Master,Technical,Male,42,6,Married,3.5,Marketing Specialist,73965.39,7004.86,4,5,No,No,Medium,6-10 years,36-45
EMP1006,Technology,PhD,Other,Male,60,9,Divorced,6.9,IT Support,93456.64,8446.81,4,3,Yes,No,Medium,6-10 years,55+
EMP1007,Technology,High School,Other,Female,40,5,Divorced,6.9,DevOps,77973.57,10261.22,2,2,Yes,No,Medium,3-5 years,36-45
EMP1008,R&D,Bachelor,Marketing,Male,44,5,Single,0.8,Lab Technician,48080.3,5719.06,1,4,No,No,Low,3-5 years,36-45
EMP1009,Sales,PhD,Life Sciences,Female,32,4,Married,21.9,BD Manager,156099.13,7253.27,3,3,No,No,Very High,3-5 years,26-35
EMP1010,Sales,Master,Marketing,Female,32,6,Divorced,8.1,BD Manager,124844.8,2891.88,1,2,No,Yes,High,6-10 years,26-35
EMP1011,Technology,Master,Medical,Male,45,0,Married,25.9,CTO,196571.68,25010.85,1,3,Yes,No,Very High,,36-45
EMP1012,Finance,PhD,Other,Male,57,10,Married,28.5,Controller,174661.56,15839.82,1,1,No,Yes,Very High,6-10 years,55+
EMP1013,Finance,High School,Marketing,Male,61,10,Divorced,3.6,Controller,89068.55,17585.67,4,2,No,No,Medium,6-10 years,55+
EMP1014,Sales,Bachelor,Medical,Female,45,0,Single,16.1,Account Executive,65854.68,7329.84,4,4,No,No,Medium,,36-45
EMP1015,Finance,Master,Life Sciences,Male,24,8,Married,9.6,Accountant,83179.88,5402.27,3,4,No,No,Medium,6-10 years,18-25
EMP1016,R&D,PhD,Life Sciences,Male,43,0,Married,31.8,Research Scientist,110041.35,5710.72,3,2,No,No,High,,36-45
EMP1017,Finance,Master,Technical,Female,23,2,Single,3.6,Financial Analyst,88738.99,13583.95,3,3,Yes,No,Medium,0-2 years,18-25
EMP1018,Customer Service,Master,Medical,Female,45,6,Single,17.0,Support Specialist,63947.25,1716.24,1,5,No,Yes,Medium,6-10 years,36-45
EMP1019,HR,Bachelor,Medical,Male,51,0,Divorced,14.0,HR Manager,76607.03,14385.57,4,2,No,Yes,Medium,,46-55
EMP1020,Sales,High School,Marketing,Female,59,8,Single,5.2,Sales Representative,45367.38,3845.23,2,4,No,No,Low,6-10 years,55+
EMP1021,Marketing,High School,Other,Female,23,8,Divorced,2.2,CMO,105575.94,13433.15,1,1,Yes,Yes,High,6-10 years,18-25
EMP1022,R&D,Bachelor,Other,Female,42,3,Divorced,15.8,Research Director,92542.6,8637.04,5,4,No,No,Medium,3-5 years,36-45
EMP1023,Operations,PhD,Technical,Female,54,0,Married,20.1,Operations Manager,107854.17,2768.8,1,5,Yes,No,High,,46-55
EMP1024,HR,PhD,Technical,Male,33,1,Single,5.7,HR Specialist,75017.24,6173.92,4,4,No,No,Medium,0-2 years,26-35
EMP1025,Marketing,High School,Technical,Female,43,4,Single,15.5,CMO,96980.14,4375.27,5,5,Yes,No,Medium,3-5 years,36-45
EMP1026,Finance,Master,Medical,Male,46,19,Married,7.5,Financial Analyst,127975.65,11292.86,1,2,Yes,No,High,10+ years,46-55
EMP1027,Operations,Master,Life Sciences,Male,48,4,Married,18.7,Operations Manager,97181.3,7738.68,4,4,Yes,No,Medium,3-5 years,46-55
EMP1028,Technology,PhD,Life Sciences,Male,63,1,Single,3.3,Data Scientist,156028.28,4414.16,4,3,Yes,No,Very High,0-2 years,55+
EMP1029,Technology,Bachelor,Marketing,Male,49,5,Divorced,33.1,IT Support,65020.78,12903.09,2,3,Yes,Yes,Medium,3-5 years,46-55
EMP1030,R&D,Master,Other,Female,37,3,Single,5.1,Lab Technician,68156.05,10693.77,1,4,No,Yes,Medium,3-5 years,36-45
EMP1031,Technology,PhD,Other,Female,36,7,Single,6.9,IT Support,101979.58,5957.08,4,4,Yes,No,High,6-10 years,36-45
EMP1032,Operations,Bachelor,Marketing,Male,24,0,Married,0.9,Supply Chain Analyst,63749.69,4438.79,3,1,No,No,Medium,,18-25
EMP1033,Operations,High School,Medical,Female,58,7,Divorced,1.8,Supply Chain Analyst,52826.04,3139.22,4,4,Yes,Yes,Medium,6-10 years,55+
EMP1034,HR,Bachelor,Life Sciences,Female,28,3,Married,10.9,CHRO,112069.95,8853.26,2,1,No,Yes,High,3-5 years,26-35
EMP1035,Sales,High School,Technical,Female,42,16,Single,4.7,Sales Manager,88013.34,3449.82,4,1,No,No,Medium,10+ years,36-45
EMP1036,Customer Service,PhD,Life Sciences,Female,30,2,Divorced,27.1,Support Specialist,77463.47,5998.24,1,1,Yes,Yes,Medium,0-2 years,26-35
EMP1037,Technology,Bachelor,Marketing,Female,60,5,Married,0.2,CTO,171012.33,11663.45,1,1,No,No,Very High,3-5 years,55+
EMP1038,R&D,PhD,Life Sciences,Female,39,13,Divorced,7.1,Lab Technician,87367.7,9425.2,5,2,Yes,Yes,Medium,10+ years,36-45
EMP1039,Technology,High School,Technical,Female,25,0,Divorced,6.2,IT Support,40772.25,7098.14,1,3,No,Yes,Low,,18-25
EMP1040,HR,Master,Other,Male,46,13,Divorced,0.3,HR Manager,126102.98,24367.12,5,1,No,Yes,High,10+ years,46-55
EMP1041,Operations,Master,Marketing,Female,35,5,Single,2.0,Operations Manager,92659.08,7889.54,3,3,Yes,No,Medium,3-5 years,26-35
EMP1042,Finance,High School,Medical,Male,30,0,Married,8.0,Accountant,44690.73,6808.32,2,1,No,No,Low,,26-35
EMP1043,Technology,Master,Life Sciences,Female,47,1,Married,10.2,Data Scientist,130843.08,27533.02,3,3,Yes,No,High,0-2 years,46-55
EMP1044,Sales,Master,Life Sciences,Male,23,6,Single,7.8,Sales Representative,75720.9,4743.75,5,4,No,No,Medium,6-10 years,18-25
EMP1045,Finance,Bachelor,Medical,Male,41,0,Divorced,11.4,Accountant,57788.19,1709.05,4,4,No,No,Medium,,36-45
EMP1046,HR,Bachelor,Medical,Female,49,4,Married,13.6,HR Specialist,58026.88,2716.65,4,3,No,No,Medium,3-5 years,46-55
EMP1047,Technology,Master,Technical,Female,28,2,Single,0.1,Software Engineer,108159.11,1521.02,3,1,No,No,High,0-2 years,26-35
EMP1048,Finance,Bachelor,Life Sciences,Female,29,4,Married,9.4,Accountant,62135.36,10809.43,4,2,Yes,Yes,Medium,3-5 years,26-35
EMP1049,Technology,High School,Marketing,Female,56,0,Divorced,49.7,Software Engineer,65525.41,8498.97,5,3,Yes,No,Medium,,55+
EMP1050,R&D,Bachelor,Life Sciences,Female,35,10,Married,11.0,Research Scientist,84359.52,13349.13,2,5,Yes,Yes,Medium,6-10 years,26-35
EMP1051,HR,Bachelor,Technical,Male,38,18,Divorced,17.0,CHRO,135408.63,16217.67,1,2,No,Yes,High,10+ years,36-45
EMP1052,Customer Service,Bachelor,Marketing,Female,57,17,Divorced,5.6,Support Specialist,57701.57,1432.69,5,5,Yes,No,Medium,10+ years,55+
EMP1053,Operations,PhD,Marketing,Female,61,6,Single,22.3,Operations Manager,124010.83,9176.54,5,3,No,No,High,6-10 years,55+
EMP1054,Marketing,High School,Marketing,Female,25,0,Divorced,22.2,Content Writer,36843.16,6280.77,1,1,No,Yes,Low,,18-25
EMP1055,Operations,Master,Technical,Male,23,7,Single,11.1,Logistics Coordinator,71357.76,8375.77,1,5,Yes,No,Medium,6-10 years,18-25
