user_id,signup_date,location,device_type,account_age_days,trust_score
USER10000,2023-10-17,City 1,Tablet,103,89.34
USER10001,2022-04-25,City 2,Tablet,436,76.18
USER10002,2022-01-26,City 3,Mobile,271,91.02
USER10003,2022-10-09,City 4,Mobile,107,85.17
USER10004,2022-09-08,City 5,Tablet,72,57.42
USER10005,2022-08-17,City 6,Mobile,701,48.71
USER10006,2022-05-23,City 7,Tablet,21,65.33
USER10007,2022-04-15,City 8,Desktop,615,85.86
USER10008,2023-11-24,City 9,Desktop,122,53.88
USER10009,2023-07-13,City 10,Mobile,467,55.34
USER10010,2022-03-31,City 11,Mobile,215,48.18
USER10011,2023-08-28,City 12,Desktop,331,78.76
USER10012,2023-03-09,City 13,Desktop,459,63.3
USER10013,2022-02-02,City 14,Mobile,88,88.37
USER10014,2022-01-31,City 15,Desktop,373,58.93
USER10015,2022-04-06,City 16,Desktop,100,65.0
USER10016,2022-08-12,City 17,Mobile,664,62.86
USER10017,2022-08-27,City 18,Tablet,131,80.55
USER10018,2023-06-02,City 19,Mobile,662,76.94
USER10019,2023-09-09,City 20,Tablet,309,76.86
USER10020,2022-01-28,City 1,Tablet,344,60.17
USER10021,2023-07-29,City 2,Desktop,492,74.34
USER10022,2022-07-23,City 3,Desktop,414,88.81
USER10023,2023-10-28,City 4,Mobile,386,48.43
USER10024,2023-12-20,City 5,Mobile,192,64.29
USER10025,2023-07-13,City 6,Desktop,277,53.8
USER10026,2023-03-06,City 7,Desktop,161,73.57
USER10027,2022-08-14,City 8,Tablet,460,59.84
USER10028,2023-04-05,City 9,Desktop,314,76.87
USER10029,2023-08-27,City 10,Mobile,22,72.31
USER10030,2022-10-12,City 11,Desktop,253,90.21
USER10031,2022-01-07,City 12,Desktop,561,91.56
USER10032,2022-06-13,City 13,Desktop,475,61.05
USER10033,2023-12-16,City 14,Mobile,59,94.63
USER10034,2023-03-09,City 15,Desktop,511,82.11
USER10035,2022-12-15,City 16,Tablet,682,50.44
USER10036,2022-10-12,City 17,Tablet,476,52.25
USER10037,2022-06-09,City 18,Mobile,700,70.38
USER10038,2022-08-09,City 19,Mobile,190,61.76
USER10039,2022-12-11,City 20,Desktop,687,46.63
USER10040,2022-04-15,City 1,Desktop,563,65.35
USER10041,2022-04-05,City 2,Mobile,567,72.99
USER10042,2023-01-25,City 3,Tablet,244,83.09
USER10043,2022-04-10,City 4,Tablet,505,54.63
USER10044,2023-01-03,City 5,Mobile,131,72.79
USER10045,2022-12-19,City 6,Mobile,485,65.77
USER10046,2023-09-11,City 7,Tablet,647,90.32
USER10047,2022-09-28,City 8,Tablet,21,61.28
USER10048,2022-02-14,City 9,Tablet,167,71.83
USER10049,2023-04-16,City 10,Desktop,274,60.63
USER10050,2023-07-04,City 11,Tablet,388,40.0
USER10051,2022-05-08,City 12,Tablet,601,76.71
USER10052,2023-01-23,City 13,Mobile,316,81.36
USER10053,2022-03-22,City 14,Tablet,14,79.47
USER10054,2023-07-20,City 15,Tablet,242,77.18
USER10055,2022-10-28,City 16,Desktop,346,68.37
USER10056,2023-10-06,City 17,Desktop,565,86.92
USER10057,2023-09-26,City 18,Desktop,340,74.94
USER10058,2023-01-06,City 19,Mobile,92,68.6
USER10059,2023-08-15,City 20,Mobile,367,73.88
USER10060,2022-07-16,City 1,Desktop,455,73.24
USER10061,2023-12-23,City 2,Desktop,428,89.16
USER10062,2022-03-13,City 3,Tablet,509,65.01
USER10063,2022-02-16,City 4,Tablet,35,80.98
USER10064,2023-11-09,City 5,Tablet,206,83.91
USER10065,2022-08-22,City 6,Desktop,81,55.77
USER10066,2022-10-24,City 7,Tablet,562,70.52
USER10067,2022-03-23,City 8,Tablet,388,36.92
USER10068,2022-08-27,City 9,Desktop,2,89.42
USER10069,2022-04-14,City 10,Tablet,390,26.52
USER10070,2023-01-25,City 11,Desktop,566,83.98
USER10071,2022-10-12,City 12,Mobile,106,73.94
USER10072,2023-04-10,City 13,Mobile,477,73.08
USER10073,2023-10-13,City 14,Tablet,703,52.47
USER10074,2023-01-09,City 15,Mobile,402,90.74
USER10075,2022-06-16,City 16,Mobile,556,66.91
USER10076,2023-01-15,City 17,Desktop,162,58.21
USER10077,2022-12-30,City 18,Desktop,202,68.47
USER10078,2022-08-03,City 19,Tablet,270,65.12
USER10079,2023-11-18,City 20,Desktop,271,48.01
USER10080,2022-10-01,City 1,Tablet,456,55.5
USER10081,2023-12-20,City 2,Tablet,462,76.19
USER10082,2023-12-01,City 3,Desktop,727,75.14
USER10083,2023-10-26,City 4,Tablet,252,66.49
USER10084,2022-03-15,City 5,Mobile,702,61.7
USER10085,2023-09-16,City 6,Mobile,296,85.98
USER10086,2023-10-13,City 7,Mobile,725,67.14
USER10087,2022-06-25,City 8,Desktop,720,85.64
USER10088,2023-07-01,City 9,Mobile,338,82.23
USER10089,2022-09-08,City 10,Tablet,53,71.11
USER10090,2022-06-17,City 11,Tablet,217,71.01
USER10091,2023-04-19,City 12,Tablet,188,69.32
USER10092,2023-01-24,City 13,Desktop,380,18.01
USER10093,2022-10-04,City 14,Mobile,493,94.91
USER10094,2023-10-18,City 15,Desktop,41,80.91
USER10095,2023-12-06,City 16,Tablet,157,89.59
USER10096,2023-07-25,City 17,Mobile,15,69.26
USER10097,2022-08-13,City 18,Mobile,65,49.48
USER10098,2023-12-03,City 19,Mobile,521,82.13
USER10099,2022-11-29,City 20,Desktop,344,78.24
