sector,date,avg_price,price_std,min_price,max_price,total_volume,volatility
Consumer,2023-01-01,93.39,99.32,9.18,217.4,12962756,
Consumer,2023-01-02,93.33,98.88,9.33,214.45,10497325,0.01
Consumer,2023-01-03,94.11,100.02,9.66,216.35,11491352,0.02
Consumer,2023-01-04,93.98,99.41,9.83,215.78,11842054,0.01
Consumer,2023-01-05,94.18,98.76,10.1,216.14,11419656,0.02
Consumer,2023-01-06,95.06,99.14,9.93,213.67,12948510,0.02
Consumer,2023-01-07,94.46,98.31,10.1,211.43,11678621,0.01
Consumer,2023-01-08,95.32,99.59,10.13,215.56,12247458,0.02
Consumer,2023-01-09,96.0,100.14,9.77,219.06,11690480,0.03
Consumer,2023-01-10,95.72,99.57,9.7,217.77,9219446,0.01
Consumer,2023-01-11,95.83,100.07,9.99,218.07,6659985,0.02
Consumer,2023-01-12,96.05,99.97,10.03,218.38,8604940,0.02
Consumer,2023-01-13,95.87,99.15,9.97,216.52,7170859,0.02
Consumer,2023-01-14,95.68,98.61,10.04,215.26,8168292,0.01
Consumer,2023-01-15,96.42,99.05,10.25,216.67,7766485,0.01
Consumer,2023-01-16,95.01,98.09,10.15,213.99,7628594,0.02
Consumer,2023-01-17,95.7,98.02,9.86,212.29,7824880,0.03
Consumer,2023-01-18,96.36,98.59,9.91,212.62,7065420,0.01
Consumer,2023-01-19,95.62,98.84,9.78,210.56,5845221,0.02
Consumer,2023-01-20,96.44,100.62,9.83,216.12,6750107,0.02
Consumer,2023-01-21,96.62,101.03,9.77,218.39,5530608,0.01
Consumer,2023-01-22,96.66,101.11,9.44,219.16,5450624,0.02
Consumer,2023-01-23,96.98,101.14,9.3,218.26,6560518,0.01
Consumer,2023-01-24,96.31,100.72,9.13,217.22,8768932,0.01
Consumer,2023-01-25,97.31,101.27,8.92,218.81,8202609,0.02
Consumer,2023-01-26,96.79,101.02,8.64,217.59,8549090,0.01
Consumer,2023-01-27,96.59,100.7,8.38,214.59,8979285,0.02
Consumer,2023-01-28,95.67,99.7,8.48,212.03,10342720,0.01
Consumer,2023-01-29,96.02,100.18,8.66,212.27,11695134,0.02
Consumer,2023-01-30,96.63,100.17,8.76,211.8,14801744,0.02
Consumer,2023-01-31,98.24,102.17,9.06,218.17,16230812,0.02
Consumer,2023-02-01,97.14,100.43,9.49,216.58,14607328,0.03
Consumer,2023-02-02,96.68,98.64,9.77,210.12,18180436,0.03
Consumer,2023-02-03,96.4,97.78,10.36,209.29,16461804,0.03
