customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
BANK10000,699,United States,Male,59,2,2955.0,4,0,0,43771.94,0
BANK10001,636,United States,Female,73,0,10438.29,1,1,0,41761.55,0
BANK10002,714,Germany,Female,34,4,469.0,3,1,1,42696.3,0
BANK10003,802,United Kingdom,Male,48,0,12339.78,3,1,1,17106.69,0
BANK10004,626,United Kingdom,Male,70,7,12984.43,3,1,0,34072.91,0
BANK10005,626,United Kingdom,Male,51,9,6495.75,2,1,1,41019.37,0
BANK10006,807,United States,Female,55,1,11527.13,4,1,1,42871.37,0
BANK10007,726,Spain,Male,74,1,7348.09,3,0,1,25688.68,0
BANK10008,603,United States,Male,54,4,3757.07,3,1,1,40950.7,0
BANK10009,704,Spain,Male,21,1,4590.84,4,0,0,43898.42,1
BANK10010,603,France,Male,79,0,4947.33,1,1,0,40467.02,1
BANK10011,603,United States,Male,19,7,678.49,1,1,1,36559.3,0
BANK10012,674,United States,Female,29,1,1072.49,2,1,1,25798.25,1
BANK10013,458,United States,Female,52,0,3705.06,1,0,0,27317.13,1
BANK10014,477,United Kingdom,Female,23,2,612.13,2,1,0,41468.09,0
BANK10015,593,United Kingdom,Female,73,0,16759.08,2,1,1,15891.53,0
BANK10016,548,Spain,Female,63,0,3537.52,2,1,1,57226.94,0
BANK10017,681,Spain,Female,25,2,2390.87,1,1,1,31064.22,0
BANK10018,559,United States,Female,38,1,857.15,5,1,1,42709.09,0
BANK10019,508,Spain,Female,70,2,2693.84,1,0,0,58534.54,0
BANK10020,796,United Kingdom,Female,75,17,1800.73,4,1,1,22500.58,0
BANK10021,627,Spain,Female,63,5,460.18,2,0,0,43195.08,0
BANK10022,656,France,Male,78,0,17057.04,3,0,1,33059.11,0
BANK10023,507,United Kingdom,Female,52,0,1539.27,1,1,1,18453.97,1
BANK10024,595,France,Female,65,2,5863.51,2,1,0,67391.64,1
BANK10025,661,Spain,Female,32,2,478.83,5,0,0,24917.77,0
BANK10026,534,Germany,Male,24,6,12218.96,3,0,1,59931.23,1
BANK10027,687,United States,Female,32,2,4467.16,4,1,0,23145.54,1
BANK10028,589,United Kingdom,Female,62,0,5348.26,1,1,0,20214.88,1
BANK10029,620,France,Male,23,1,7611.36,4,0,0,22470.75,0
BANK10030,589,Germany,Male,64,4,4655.95,2,0,1,23731.32,0
BANK10031,835,Germany,Female,34,7,367.73,2,1,1,25090.56,0
BANK10032,648,United Kingdom,Female,21,0,2806.93,1,1,1,49729.94,0
BANK10033,544,United Kingdom,Male,39,2,1519.26,2,1,1,84942.71,0
BANK10034,732,Germany,Male,49,0,3334.64,2,1,1,64229.03,0
BANK10035,527,United States,Male,76,2,2590.3,3,1,1,36917.48,1
BANK10036,670,United States,Female,39,0,8758.84,4,1,1,32884.2,1
BANK10037,454,France,Male,44,8,1418.77,2,0,1,32655.78,0
BANK10038,517,United States,Female,63,3,1123.86,5,1,1,15033.14,1
BANK10039,669,Germany,Female,32,5,15860.71,4,0,0,39291.16,0
BANK10040,723,Germany,Female,77,19,14930.55,2,1,1,44965.42,0
BANK10041,667,Spain,Female,61,0,25152.89,1,0,1,25195.06,0
BANK10042,638,Germany,Male,68,3,4201.06,1,1,0,20417.46,1
BANK10043,619,United States,Male,39,6,600.36,1,1,0,36040.89,0
BANK10044,502,France,Female,45,2,10608.31,4,1,0,52141.9,1
BANK10045,578,Spain,Male,59,3,783.94,1,1,1,24783.58,0
BANK10046,603,United States,Female,55,1,845.61,1,1,0,23730.25,1
BANK10047,755,France,Male,77,3,1074.62,1,1,1,28326.72,0
BANK10048,684,United States,Female,74,1,5298.19,1,1,0,43541.46,1
BANK10049,473,Spain,Female,26,1,566.96,1,0,1,27040.91,0
BANK10050,682,Germany,Male,51,0,7531.74,1,0,0,67111.96,1
BANK10051,611,Spain,Female,53,0,300.09,5,0,1,30321.94,0
BANK10052,582,Germany,Female,26,0,585.18,1,1,1,29115.35,1
BANK10053,711,Spain,Male,32,0,2850.11,1,1,1,37248.46,1
BANK10054,753,United Kingdom,Female,79,1,2383.5,5,1,1,54061.04,0
BANK10055,743,United States,Female,62,0,22882.07,3,1,1,46148.47,0
BANK10056,566,United States,Female,37,0,17035.67,1,1,1,17333.85,0
BANK10057,619,United Kingdom,Male,25,4,1051.64,1,1,1,44464.16,0
BANK10058,683,Germany,Female,75,4,14655.86,1,1,1,54337.86,0
BANK10059,747,United States,Female,45,4,5892.53,3,1,1,56338.07,0
BANK10060,602,United Kingdom,Male,68,7,2628.37,1,0,1,66027.56,0
BANK10061,631,United States,Male,36,0,6728.28,3,1,1,89288.01,0
