transaction_id,customer_id,transaction_type,amount,date,merchant,location,is_fraudulent
TXN100000,BANK14949,Purchase,584.72,2023-01-15,Mortgage Co,ATM,0
TXN100001,BANK13405,Payment,-10.17,2023-10-22,Walmart,Online,0
TXN100002,BANK15218,Withdrawal,-9.75,2023-03-23,Mortgage Co,ATM,0
TXN100003,BANK10957,Deposit,98.43,2023-10-04,Spotify,Online,0
TXN100004,BANK12542,Purchase,20.28,2023-10-05,Electric Co,In-Store,0
TXN100005,BANK13741,Transfer,144.96,2023-10-25,Netflix,Online,0
TXN100006,BANK18791,Withdrawal,-7.37,2023-04-18,Apple,In-Store,0
TXN100007,BANK16006,Transfer,57.44,2023-01-25,Google,ATM,0
TXN100008,BANK10768,Transfer,6.72,2023-06-12,Starbucks,ATM,0
TXN100009,BANK12676,Deposit,55.12,2023-10-27,Water Co,In-Store,0
TXN100010,BANK12653,Withdrawal,-12.39,2023-11-09,Walmart,Online,0
TXN100011,BANK19160,Payment,-28.46,2023-08-15,Spotify,In-Store,0
TXN100012,BANK19986,Withdrawal,-10.24,2023-07-04,Google,ATM,0
TXN100013,BANK14592,Deposit,18.05,2023-06-11,Mortgage Co,In-Store,0
TXN100014,BANK16916,Payment,-78.68,2023-10-30,Electric Co,Online,0
TXN100015,BANK16403,Purchase,59.54,2023-07-02,Google,ATM,0
TXN100016,BANK15543,Transfer,32.35,2023-11-18,Amazon,In-Store,0
TXN100017,BANK12968,Deposit,424.83,2023-02-03,Netflix,In-Store,0
TXN100018,BANK17347,Withdrawal,-56.57,2023-03-09,Apple,Online,0
TXN100019,BANK15517,Purchase,9.53,2023-02-08,Starbucks,In-Store,0
TXN100020,BANK12612,Withdrawal,-15.15,2023-03-29,Google,ATM,0
TXN100021,BANK13259,Transfer,22.54,2023-09-14,Amazon,In-Store,0
TXN100022,BANK13293,Deposit,121.48,2023-07-25,Starbucks,ATM,0
TXN100023,BANK12186,Purchase,89.68,2023-12-09,Walmart,ATM,0
TXN100024,BANK18524,Transfer,10.91,2023-10-26,Amazon,ATM,0
TXN100025,BANK12511,Purchase,67.57,2023-10-07,Walmart,In-Store,0
TXN100026,BANK13830,Payment,-15.04,2023-03-20,Netflix,Online,0
TXN100027,BANK10152,Payment,-6.25,2023-01-21,Electric Co,Online,0
TXN100028,BANK12233,Withdrawal,-52.25,2023-03-28,Electric Co,In-Store,0
TXN100029,BANK10266,Deposit,4.8,2023-07-05,Electric Co,Online,0
TXN100030,BANK12202,Transfer,28.3,2023-05-30,Electric Co,In-Store,0
TXN100031,BANK15409,Deposit,47.21,2023-03-24,Netflix,ATM,0
TXN100032,BANK16574,Payment,-11.67,2023-01-24,Mortgage Co,ATM,0
TXN100033,BANK19398,Payment,-10.63,2023-01-10,Google,Online,0
TXN100034,BANK11766,Transfer,18.45,2023-04-25,Spotify,In-Store,0
TXN100035,BANK13531,Transfer,284.34,2023-02-13,Electric Co,In-Store,0
TXN100036,BANK13349,Transfer,8.53,2023-06-24,Walmart,Online,0
TXN100037,BANK10163,Transfer,40.84,2023-01-12,Google,ATM,0
TXN100038,BANK13763,Payment,-10.43,2023-09-11,Netflix,Online,0
TXN100039,BANK10359,Transfer,66.28,2023-09-15,Mortgage Co,Online,0
TXN100040,BANK13595,Purchase,4.41,2023-01-18,Mortgage Co,In-Store,1
TXN100041,BANK13232,Deposit,21.84,2023-02-14,Google,In-Store,0
TXN100042,BANK14155,Purchase,2.88,2023-06-25,Mortgage Co,Online,0
TXN100043,BANK16689,Transfer,2.53,2023-07-23,Electric Co,In-Store,0
TXN100044,BANK17675,Payment,-16.91,2023-02-12,Netflix,In-Store,0
TXN100045,BANK17224,Transfer,14.08,2023-07-26,Starbucks,Online,0
TXN100046,BANK11109,Purchase,7.68,2023-05-10,Electric Co,ATM,0
TXN100047,BANK12012,Purchase,4.23,2023-12-03,Spotify,In-Store,0
TXN100048,BANK17008,Withdrawal,-12.32,2023-12-23,Apple,ATM,0
TXN100049,BANK17475,Withdrawal,-11.08,2023-03-02,Walmart,ATM,0
TXN100050,BANK15983,Purchase,124.51,2023-04-16,Water Co,In-Store,0
TXN100051,BANK10175,Purchase,178.24,2023-02-10,Starbucks,In-Store,0
TXN100052,BANK17168,Payment,-14.17,2023-12-04,Amazon,In-Store,0
TXN100053,BANK16993,Deposit,27.48,2023-10-06,Electric Co,ATM,0
TXN100054,BANK12326,Withdrawal,-36.95,2023-05-21,Electric Co,In-Store,0
TXN100055,BANK17837,Payment,-12.76,2023-09-15,Netflix,In-Store,0
TXN100056,BANK19988,Payment,-8.33,2023-12-09,Google,Online,1
TXN100057,BANK19993,Transfer,28.43,2023-01-19,Electric Co,ATM,0
TXN100058,BANK15691,Deposit,22.45,2023-04-13,Walmart,Online,0
TXN100059,BANK15164,Deposit,5.19,2023-03-08,Walmart,Online,0
TXN100060,BANK14081,Transfer,60.56,2023-09-17,Water Co,Online,0
TXN100061,BANK10928,Transfer,138.33,2023-03-17,Starbucks,In-Store,0
TXN100062,BANK12843,Purchase,60.38,2023-03-05,Google,Online,0
TXN100063,BANK14554,Transfer,305.19,2023-05-26,Amazon,In-Store,0
TXN100064,BANK16065,Purchase,189.5,2023-03-06,Apple,Online,0
TXN100065,BANK13450,Payment,-55.95,2023-09-06,Electric Co,ATM,0
TXN100066,BANK10918,Purchase,1.52,2023-09-06,Google,Online,0
