customer_id,signup_date,location,tier,loyalty_score
CUST10000,2021-10-16,Los Angeles,Gold,61.56
CUST10001,2020-04-24,Los Angeles,Basic,50.0
CUST10002,2020-01-26,New York,Gold,61.86
CUST10003,2022-01-29,Houston,Basic,31.41
CUST10004,2020-10-08,San Diego,Silver,90.25
CUST10005,2020-09-07,Los Angeles,Platinum,24.17
CUST10006,2020-08-16,Chicago,Gold,75.82
CUST10007,2020-05-22,San Jose,Gold,36.84
CUST10008,2022-01-24,Houston,Platinum,43.27
CUST10009,2020-04-14,Dallas,Gold,72.04
CUST10010,2021-11-23,San Diego,Gold,84.73
CUST10011,2022-01-28,New York,Gold,19.64
CUST10012,2022-07-02,New York,Gold,59.72
CUST10013,2021-07-12,Philadelphia,Platinum,53.79
CUST10014,2020-03-30,Los Angeles,Silver,24.9
CUST10015,2021-08-27,San Antonio,Gold,63.54
CUST10016,2021-03-08,Chicago,Platinum,26.58
CUST10017,2020-02-02,San Diego,Silver,51.54
CUST10018,2020-01-31,Los Angeles,Platinum,38.15
CUST10019,2020-04-05,Houston,Basic,43.81
CUST10020,2020-08-11,San Antonio,Silver,41.84
CUST10021,2020-08-26,Los Angeles,Silver,69.31
CUST10022,2021-06-01,Los Angeles,Basic,26.0
CUST10023,2021-09-08,Los Angeles,Silver,57.63
CUST10024,2020-01-28,Philadelphia,Silver,39.18
CUST10025,2021-07-28,Philadelphia,Basic,42.89
CUST10026,2020-07-22,Phoenix,Platinum,59.68
CUST10027,2022-01-03,Chicago,Gold,35.54
CUST10028,2021-10-27,San Antonio,Silver,41.71
CUST10029,2021-12-19,Chicago,Platinum,50.63
CUST10030,2021-07-12,Chicago,Platinum,26.51
CUST10031,2021-03-05,Los Angeles,Basic,39.52
CUST10032,2020-08-13,Dallas,Platinum,56.25
CUST10033,2021-04-04,San Jose,Basic,11.59
CUST10034,2021-08-26,New York,Platinum,19.3
CUST10035,2020-10-11,San Jose,Gold,40.67
CUST10036,2022-04-08,Chicago,Platinum,56.06
CUST10037,2022-06-09,San Diego,Platinum,90.68
CUST10038,2020-01-07,Philadelphia,Platinum,39.85
CUST10039,2022-02-16,Houston,Basic,16.98
CUST10040,2022-04-05,Chicago,Silver,13.91
CUST10041,2020-06-12,San Antonio,Basic,39.71
CUST10042,2021-12-15,San Jose,Gold,84.8
CUST10043,2021-03-08,San Diego,Basic,14.82
CUST10044,2020-12-14,Houston,Silver,41.17
CUST10045,2020-10-11,Los Angeles,Gold,53.93
CUST10046,2020-06-08,Los Angeles,Silver,32.0
CUST10047,2020-08-08,Chicago,Silver,69.65
CUST10048,2022-09-07,Los Angeles,Gold,69.71
CUST10049,2022-02-20,San Jose,Silver,19.39
CUST10050,2020-12-10,San Antonio,Basic,58.97
CUST10051,2020-04-14,Philadelphia,Silver,61.13
CUST10052,2020-04-04,San Antonio,Platinum,42.22
CUST10053,2021-01-24,Philadelphia,Basic,27.97
CUST10054,2020-04-09,Chicago,Silver,76.85
CUST10055,2021-01-02,Houston,Platinum,21.03
CUST10056,2022-05-17,Phoenix,Basic,33.5
CUST10057,2020-12-18,Los Angeles,Gold,59.94
CUST10058,2021-09-10,Houston,Basic,67.88
CUST10059,2020-09-27,Dallas,Gold,79.01
CUST10060,2022-04-06,San Jose,Basic,29.03
CUST10061,2020-02-14,San Jose,Platinum,74.91
CUST10062,2022-01-17,San Jose,Gold,50.44
CUST10063,2021-04-15,Phoenix,Basic,50.02
CUST10064,2021-07-03,New York,Gold,42.9
CUST10065,2020-05-07,Phoenix,Silver,75.66
CUST10066,2022-09-23,Houston,Basic,16.87
CUST10067,2022-08-02,Dallas,Basic,17.02
CUST10068,2021-01-22,San Jose,Platinum,79.51
CUST10069,2020-03-21,Dallas,Platinum,61.06
CUST10070,2021-07-19,Houston,Platinum,84.12
CUST10071,2020-10-27,San Antonio,Gold,69.59
CUST10072,2022-04-29,Phoenix,Basic,38.75
CUST10073,2021-10-05,New York,Gold,73.06
CUST10074,2021-09-25,Houston,Basic,65.19
CUST10075,2022-06-25,San Diego,Platinum,33.79
CUST10076,2022-06-01,San Antonio,Gold,46.5
CUST10077,2021-01-05,Los Angeles,Silver,28.28
CUST10078,2021-08-14,Houston,Silver,81.28
CUST10079,2020-07-15,San Diego,Basic,91.97
CUST10080,2021-12-22,San Jose,Gold,91.2
CUST10081,2020-03-12,Los Angeles,Gold,22.88
CUST10082,2020-02-16,Dallas,Basic,59.1
CUST10083,2021-11-08,New York,Basic,89.89
CUST10084,2020-08-21,Philadelphia,Platinum,36.72
CUST10085,2022-03-02,Philadelphia,Basic,67.61
CUST10086,2020-10-23,Chicago,Platinum,25.16
CUST10087,2020-03-22,San Antonio,Gold,59.81
CUST10088,2022-05-25,San Jose,Silver,43.69
CUST10089,2020-08-26,San Antonio,Silver,47.36
CUST10090,2022-06-06,Philadelphia,Platinum,63.58
CUST10091,2020-04-13,Dallas,Basic,50.19
CUST10092,2021-01-24,Chicago,Basic,70.17
CUST10093,2020-10-11,San Diego,Silver,58.51
CUST10094,2021-04-09,Los Angeles,Silver,11.84
CUST10095,2021-10-12,New York,Platinum,55.65
CUST10096,2022-05-04,San Jose,Platinum,68.59
CUST10097,2021-01-08,Los Angeles,Gold,68.78
