transaction_id,customer_id,product_id,date,quantity,region,discount,price,total_amount
TXN50000,CUST11723,PROD1054,2023-04-18,4,East,8.92,28.42,103.54
TXN50001,CUST10743,PROD1057,2023-09-19,5,West,2.37,20.03,97.78
TXN50002,CUST14152,PROD1077,2023-12-27,1,North,8.7,13.99,12.77
TXN50003,CUST12947,PROD1030,2023-01-04,2,West,1.88,15.92,31.24
TXN50004,CUST13915,PROD1136,2023-09-12,4,West,4.81,22.85,87.0
TXN50005,CUST12091,PROD1122,2023-07-01,2,North,2.84,5.67,11.02
TXN50006,CUST14167,PROD1030,2023-07-03,3,South,3.5,15.92,46.09
TXN50007,CUST10917,PROD1199,2023-05-20,3,North,4.97,28.93,82.48
TXN50008,CUST13743,PROD1081,2023-01-19,5,East,16.75,32.76,136.36
TXN50009,CUST10132,PROD1180,2023-06-20,5,South,0.97,16.08,79.62
TXN50010,CUST10059,PROD1080,2023-11-19,5,West,0.52,77.16,383.79
TXN50011,CUST13113,PROD1175,2023-11-24,4,North,9.27,4.55,16.51
TXN50012,CUST13440,PROD1004,2023-07-05,2,West,2.72,2.81,5.47
TXN50013,CUST13279,PROD1050,2023-12-09,3,South,2.08,35.91,105.49
TXN50014,CUST10819,PROD1157,2023-11-18,2,East,4.39,48.32,92.4
TXN50015,CUST12905,PROD1160,2023-06-12,4,South,14.55,20.26,69.25
TXN50016,CUST12952,PROD1049,2023-10-13,2,East,4.94,9.97,18.95
TXN50017,CUST12539,PROD1014,2023-07-12,2,North,0.66,34.51,68.56
TXN50018,CUST10534,PROD1198,2023-06-05,5,West,8.59,9.49,43.37
TXN50019,CUST13556,PROD1058,2023-05-16,2,South,3.23,4.0,7.74
TXN50020,CUST12463,PROD1130,2023-06-11,2,East,2.37,22.01,42.98
TXN50021,CUST11878,PROD1002,2023-03-15,2,East,6.1,30.2,56.72
TXN50022,CUST10691,PROD1048,2023-07-25,1,South,6.19,9.43,8.85
TXN50023,CUST13192,PROD1192,2023-05-27,3,East,0.9,21.58,64.16
TXN50024,CUST13861,PROD1094,2023-07-20,3,North,4.1,9.1,26.18
TXN50025,CUST10129,PROD1068,2023-07-06,2,South,2.64,11.49,22.37
TXN50026,CUST12250,PROD1052,2023-01-13,5,West,7.67,42.16,194.63
TXN50027,CUST12648,PROD1026,2023-09-01,5,East,3.1,9.94,48.16
TXN50028,CUST10371,PROD1063,2023-03-26,5,South,1.26,9.3,45.91
TXN50029,CUST11152,PROD1112,2023-12-28,3,North,20.24,19.04,45.56
TXN50030,CUST12039,PROD1188,2023-04-16,4,North,2.61,21.39,83.33
TXN50031,CUST11452,PROD1056,2023-02-16,2,West,5.31,5.87,11.12
TXN50032,CUST14625,PROD1027,2023-12-09,3,South,2.98,130.65,380.27
TXN50033,CUST10075,PROD1038,2023-05-08,5,West,7.67,6.57,30.33
TXN50034,CUST11048,PROD1182,2023-05-20,3,North,2.54,27.32,79.88
TXN50035,CUST14248,PROD1146,2023-02-25,3,North,4.04,6.15,17.7
TXN50036,CUST11275,PROD1094,2023-11-10,3,East,7.67,9.1,25.21
TXN50037,CUST11148,PROD1177,2023-02-20,5,North,6.93,4.44,20.66
TXN50038,CUST13848,PROD1007,2023-12-02,4,West,1.04,20.49,81.11
TXN50039,CUST10319,PROD1198,2023-08-11,1,North,8.42,9.49,8.69
TXN50040,CUST10501,PROD1069,2023-03-19,2,South,5.51,18.41,34.79
TXN50041,CUST14884,PROD1141,2023-10-15,2,North,3.49,23.71,45.77
TXN50042,CUST11718,PROD1131,2023-09-21,3,North,0.35,24.03,71.84
TXN50043,CUST12400,PROD1160,2023-06-02,4,East,2.4,20.26,79.1
TXN50044,CUST13044,PROD1187,2023-05-21,5,North,20.95,10.39,41.07
TXN50045,CUST13398,PROD1139,2023-10-03,1,East,9.85,18.03,16.25
TXN50046,CUST11290,PROD1027,2023-04-23,1,West,5.68,130.65,123.23
TXN50047,CUST13434,PROD1197,2023-07-10,3,South,1.9,41.37,121.75
TXN50048,CUST11412,PROD1157,2023-09-08,3,South,2.09,48.32,141.93
TXN50049,CUST11430,PROD1138,2023-06-22,5,East,2.12,25.37,124.16
TXN50050,CUST14248,PROD1127,2023-04-23,5,East,2.79,9.4,45.69
TXN50051,CUST11240,PROD1179,2023-12-23,5,East,3.45,13.17,63.58
TXN50052,CUST11487,PROD1093,2023-02-03,3,North,0.06,18.59,55.74
TXN50053,CUST12990,PROD1144,2023-06-03,4,North,3.28,98.14,379.68
TXN50054,CUST10896,PROD1144,2023-10-11,3,South,1.85,98.14,288.97
TXN50055,CUST11330,PROD1118,2023-01-03,3,West,1.28,19.34,57.28
TXN50056,CUST10245,PROD1058,2023-09-27,1,West,2.08,4.0,3.92
TXN50057,CUST14075,PROD1035,2023-02-20,5,West,4.08,13.57,65.08
TXN50058,CUST11671,PROD1177,2023-01-26,2,West,5.79,4.44,8.37
TXN50059,CUST12507,PROD1045,2023-03-23,5,West,1.1,36.43,180.15
TXN50060,CUST13306,PROD1164,2023-07-25,4,West,0.81,57.18,226.87
TXN50061,CUST13057,PROD1149,2023-03-08,4,East,7.59,10.91,40.33
TXN50062,CUST12172,PROD1034,2023-04-30,5,North,4.65,15.79,75.28
TXN50063,CUST12630,PROD1123,2023-11-24,5,East,2.22,120.78,590.49
