user_id,join_date,location,review_count,helpfulness_score
USER5000,2022-08-19,City 1,17,1.38
USER5001,2022-09-07,City 2,14,4.48
USER5002,2022-06-21,City 3,10,2.81
USER5003,2021-11-28,City 4,18,4.48
USER5004,2021-01-12,City 5,12,2.82
USER5005,2020-04-15,City 6,11,1.78
USER5006,2021-06-01,City 7,11,2.78
USER5007,2022-09-05,City 8,8,3.23
USER5008,2020-08-21,City 9,8,4.11
USER5009,2020-05-13,City 10,12,2.48
USER5010,2022-03-31,City 11,20,2.53
USER5011,2022-10-04,City 12,15,4.43
USER5012,2020-05-31,City 13,13,2.08
USER5013,2023-03-27,City 14,16,3.31
USER5014,2023-07-13,City 15,15,3.28
USER5015,2023-11-06,City 1,11,1.66
USER5016,2020-04-19,City 2,11,2.03
USER5017,2020-11-06,City 3,9,1.7
USER5018,2020-11-01,City 4,18,3.49
USER5019,2023-02-26,City 5,17,2.27
USER5020,2021-09-14,City 6,22,4.29
USER5021,2020-06-23,City 7,14,3.67
USER5022,2021-05-23,City 8,15,2.85
USER5023,2020-08-30,City 9,15,2.83
USER5024,2023-02-16,City 10,9,1.43
USER5025,2022-05-02,City 11,10,3.73
USER5026,2023-05-26,City 12,18,3.73
USER5027,2023-05-05,City 13,12,2.16
USER5028,2023-06-20,City 14,9,2.02
USER5029,2021-04-07,City 15,16,1.2
USER5030,2022-12-06,City 1,14,3.17
USER5031,2022-02-18,City 2,16,3.94
USER5032,2022-07-11,City 3,22,1.1
USER5033,2022-06-25,City 4,14,2.85
USER5034,2021-08-31,City 5,19,3.02
USER5035,2023-04-20,City 6,8,2.59
USER5036,2022-05-28,City 7,11,3.85
USER5037,2021-09-17,City 8,22,1.25
USER5038,2023-03-10,City 9,16,3.39
USER5039,2023-06-25,City 10,11,1.44
USER5040,2020-05-03,City 11,14,3.78
USER5041,2023-06-02,City 12,13,2.36
USER5042,2020-07-22,City 13,25,1.22
USER5043,2021-03-01,City 14,13,1.73
USER5044,2023-07-05,City 15,14,4.08
USER5045,2021-03-08,City 1,17,2.47
USER5046,2021-06-25,City 2,16,3.53
USER5047,2023-09-14,City 3,10,0.82
USER5048,2020-06-15,City 4,18,2.38
USER5049,2020-11-17,City 5,10,2.97
USER5050,2021-05-06,City 6,13,2.33
USER5051,2020-12-21,City 7,17,3.2
USER5052,2023-02-04,City 8,19,4.41
USER5053,2020-06-02,City 9,13,1.85
USER5054,2020-11-16,City 10,15,2.8
USER5055,2020-01-06,City 11,14,1.61
USER5056,2022-04-16,City 12,13,1.77
USER5057,2022-07-11,City 13,19,2.32
